test_id,surface,pressure_kpa,q_NBR_exp_W_cm2,q_NBR_rohsenow_Csf_0p0128_W_cm2,q_NBR_rohsenow_Csf_0p0107_W_cm2
Boiling-285,Flat Cu,10.07,37.83,21.532197961729864,36.86098530405684
Boiling-284,Flat Cu,19.96,38.28,21.61673784051689,37.00570918385369
Boiling-283,Flat Cu,29.9,39.83,23.71263828677188,40.59368267757148
Boiling-282,Flat Cu,40.04,43.72,29.552107130712248,50.59027362581354
Boiling-280,Flat Cu,50.1,50.51,38.65696076056706,66.17687915684981
Boiling-279,Flat Cu,60.01,54.04,39.387372303596294,67.42727120699568
Boiling-278,Flat Cu,69.98,56.93,41.18681113530635,70.50773184780455
Boiling-277,Flat Cu,79.97,60.65,44.28925367184673,75.81880547574313
Boiling-276,Flat Cu,89.95,61.19,40.67995033125649,69.640036469818
Boiling-274,Flat Cu,100.04,62.5,45.90086693921708,78.57772739676322
Boiling-385,MC Cu,10.09,75.89,24.040577589377104,41.15508220749589
Boiling-383,MC Cu,20.08,83.32,31.767002445722326,54.38195452163841
Boiling-382,MC Cu,30.04,86.29,33.21143394335855,56.854677849824284
Boiling-381,MC Cu,40.04,87.91,27.972124415504688,47.88550006997675
Boiling-377,MC Cu,49.99,95.42,45.61257658228957,78.08420292569467
Boiling-376,MC Cu,60.12,98.6,45.74581634841887,78.3122961779459
Boiling-375,MC Cu,70.01,99.71,57.50212417588725,98.43792807249241
Boiling-374,MC Cu,80.04,98.54,46.2174291914823,79.11965054596088
Boiling-373,MC Cu,89.98,94.97,46.98396020911889,80.43187555087792
Boiling-372,MC Cu,100.05,90.42,46.440930921507075,79.50226331965527
Boiling-300,MP Cu,10.1,77.94,36.92435485099011,63.21082984390232
Boiling-299,MP Cu,20.02,77.95,43.76898224031874,74.92815243485248
Boiling-298,MP Cu,30.03,80.16,40.003726013749436,68.48240757033564
Boiling-297,MP Cu,40.04,84.84,43.587918590615175,74.61818944163254
Boiling-296,MP Cu,50.01,87.98,59.74846155613622,102.28343466259898
Boiling-295,MP Cu,60.01,88.02,51.84043819340959,88.7456837337019
Boiling-294,MP Cu,70.04,88.96,61.167097517844105,104.71199859412434
Boiling-293,MP Cu,80.06,84.89,49.81999901490109,85.28689243895751
Boiling-320,MP Cu,90.01,88.19,48.22205434776239,82.55136980458533
Boiling-319,MP Cu,100.03,84.75,43.258357764825746,74.05401402499331
